,BedNumber,BathNumber,HouseSize,LotSize,ZipCode,Price
115,1.0,2.0,758.0,5854.0,"West Hollywood, CA 90048",750000.0
116,3.0,2.0,1341.0,3100.0,"Pacific Palisades, CA 90272",1980000.0
117,4.0,2.0,1270.0,5611.0,"Los Angeles, CA 90026",1099000.0
118,2.0,2.5,1808.0,37975.5,"Los Angeles, CA 90024",1275000.0
119,4.0,3.0,2364.0,13095.0,"Studio City, CA 91604",2299000.0
120,3.0,3.0,1715.0,10912.5,"Los Angeles, CA 90046",1985000.0
121,4.0,4.0,2240.0,10912.5,"North Hollywood, CA 91606",1500000.0
122,3.0,2.5,1909.0,18769.5,"Los Angeles, CA 90094",1999000.0
123,4.0,3.0,2094.0,5684.0,"Los Angeles, CA 90034",1850000.0
124,5.0,5.5,6850.0,9644.0,"Pacific Palisades, CA 90272",7495000.0
125,18.0,17.0,11647.0,7039.0,"Los Angeles, CA 90005",3650000.0
126,5.0,3.0,2334.0,5040.0,"Los Angeles, CA 90003",599000.0
127,2.0,1.0,792.0,4000.0,"Los Angeles, CA 90065",630000.0
128,2.0,2.0,1534.0,5014.0,"Los Angeles, CA 90008",800000.0
129,4.0,2.5,2224.0,93411.0,"West Hills, CA 91304",799999.0
130,3.0,2.0,1202.0,4116.0,"Los Angeles, CA 90022",549900.0
131,4.0,3.0,2478.0,10039.5,"Los Angeles, CA 90019",1490000.0
132,6.0,2.0,1968.0,5105.0,"Los Angeles, CA 90011",726000.0
133,3.0,3.0,1611.0,12658.5,"Los Angeles, CA 90041",899000.0
134,3.0,2.0,1386.0,6273.0,"Los Angeles, CA 90042",798000.0
135,2.0,1.0,964.0,28372.5,"Playa Vista, CA 90094",759000.0
136,3.0,2.0,1109.0,3259.0,"Wilmington, CA 90744",638000.0
137,2.0,2.0,1118.0,30554.999999999996,"Los Angeles, CA 90034",719000.0
138,3.0,2.5,2385.0,7392.0,"Los Angeles, CA 90065",1648000.0
139,9.0,9.5,13000.0,330867.0,"Beverly Hills, CA 90210",29900000.0
140,5.0,2.5,2503.0,27936.0,"Woodland Hills, CA 91367",1399999.0
141,4.0,3.5,3368.0,6109.0,"Los Angeles, CA 90008",1699000.0
142,1.0,1.0,945.0,6743.0,"Sherman Oaks, CA 91423",475000.0
143,3.0,2.0,1328.0,11349.0,"Los Angeles, CA 90065",1297000.0
144,3.0,2.0,1958.0,10476.0,"Los Angeles, CA 90008",1899000.0
145,2.0,2.0,1724.0,27063.0,"Los Angeles, CA 90025",869000.0
146,6.0,6.0,5560.0,7714.0,"Los Angeles, CA 90004",2995000.0
147,2.0,2.5,1860.0,40158.0,"Playa Vista, CA 90094",1420000.0
148,3.0,2.0,1546.0,5005.0,"Valley Village, CA 91607",1239000.0
149,5.0,7.0,4165.0,8098.0,"Los Angeles, CA 90068",2600000.0
150,1.0,1.0,998.0,79879.5,"West Los Angeles, CA 90064",719000.0
151,45.0,25.0,,9283.0,"Los Angeles, CA 90005",2500000.0
152,6.0,6.0,5509.0,8429.0,"Los Angeles, CA 90036",2579900.0
153,3.0,2.0,1476.0,7475.0,"Los Angeles, CA 90034",1499999.0
154,4.0,3.0,2801.0,5214.0,"Tarzana, CA 91335",1695000.0
155,3.0,3.0,2143.0,34483.5,"Los Angeles, CA 90049",1725000.0
156,3.0,3.5,2086.0,2505.0,"Venice, CA 90291",1795000.0
157,3.0,3.0,1595.0,258408.0,"San Pedro, CA 90732",699000.0
158,2.0,3.0,2635.0,10912.5,"Los Angeles, CA 90069",3250000.0
159,2.0,2.5,1741.0,2134.0,"Los Angeles, CA 90068",2495000.0
160,2.0,2.5,2450.0,161505.0,"Los Angeles, CA 90067",3395000.0
161,2.0,3.0,2295.0,123093.0,"Marina del Rey, CA 90292",1888000.0
162,4.0,5.0,4000.0,5205.0,"Venice, CA 90291",4100000.0
163,8.0,3.0,2903.0,5672.0,"Venice, CA 90291",3095000.0
164,3.0,3.5,3488.0,,"Pacific Palisades, CA 90272",4300000.0
165,4.0,3.5,3932.0,4334.0,"Venice, CA 90291",3800000.0
166,3.0,1.5,1512.0,6155.0,"Los Angeles, CA 90066",1798000.0
167,3.0,3.5,4243.0,,"Pacific Palisades, CA 90272",5950000.0
168,4.0,5.5,8339.0,23134.5,"Los Angeles, CA 90069",16500000.0
169,3.0,1.5,988.0,5649.0,"Los Angeles, CA 90062",655000.0
170,8.0,,1185.0,4301.0,,500000.0
171,7.0,8.5,12904.0,15714.0,"Pacific Palisades, CA 90272",17995000.0
172,2.0,2.0,1486.0,56308.5,"Encino, CA 91316",520000.0
173,2.0,3.0,1227.0,14841.000000000002,"San Pedro, CA 90731",539000.0
174,2.0,1.0,988.0,4105.0,"Los Angeles, CA 90047",550000.0
175,7.0,13.0,22640.0,70276.5,"Santa Monica, CA 90402",79000000.0
176,2.0,1.0,1176.0,5915.0,"Los Angeles, CA 90006",899888.0
177,,,2081.0,7990.0,,749999.0
178,3.0,2.0,2446.0,6688.0,"Los Angeles, CA 90042",950000.0
179,3.0,2.0,1584.0,4670.0,"Los Angeles, CA 90032",949000.0
180,4.0,5.0,2074.0,6739.0,"Los Angeles, CA 90037",860000.0
181,3.0,2.5,2111.0,6714.0,"Winnetka, CA 91306",850000.0
182,3.0,2.0,1130.0,5399.0,"Panorama City, CA 91402",609950.0
183,4.0,2.0,1479.0,8892.0,"Winnetka, CA 91306",749950.0
184,4.0,2.0,1374.0,236583.0,"Reseda, CA 91335",580000.0
185,3.0,1.0,1548.0,6891.0,"Los Angeles, CA 90068",1200000.0
186,4.0,3.0,1623.0,6000.0,,888000.0
187,4.0,3.0,2224.0,7629.0,"Porter Ranch, CA 91326",979950.0
188,2.0,1.0,600.0,5841.0,"Los Angeles, CA 90065",875000.0
189,6.0,5.0,2846.0,8999.0,"Reseda, CA 91335",1325000.0
190,3.0,1.0,1077.0,6939.0,"Winnetka, CA 91306",687000.0
191,1.0,1.0,1060.0,,"Los Angeles, CA 90015",724000.0
192,4.0,3.0,2378.0,8976.0,"Porter Ranch, CA 91326",1130000.0
193,3.0,2.0,1404.0,6000.0,"Los Angeles, CA 90016",1299900.0
194,3.0,2.0,1570.0,11349.0,"Northridge, CA 91326",849950.0
195,1.0,1.0,598.0,42340.5,"Los Angeles, CA 90024",649000.0
196,1.0,1.0,903.0,,"Los Angeles, CA 90013",845000.0
197,3.0,4.0,1917.0,,"Los Angeles, CA 90041",1400000.0
198,3.0,2.0,1300.0,6753.0,"Van Nuys, CA 91406",849900.0
199,2.0,2.0,1561.0,5306.0,"Valley Village, CA 91607",1199000.0
200,3.0,2.0,1228.0,8317.0,"Sunland, CA 91040",849000.0
201,4.0,5.0,3402.0,4652.0,"Los Angeles, CA 90068",2100000.0
202,3.0,2.0,1639.0,5334.0,"Glassell Park, CA 90065",1525000.0
203,3.0,3.0,1855.0,6769.0,"Los Angeles, CA 90046",2325000.0
204,2.0,1.0,886.0,6273.0,"Reseda, CA 91335",769000.0
205,3.0,2.0,1626.0,8253.0,"Encino, CA 91436",1449000.0
206,3.0,2.5,1804.0,8821.0,"Los Angeles, CA 90025",1149000.0
207,5.0,5.5,4667.0,34483.5,"Los Angeles, CA 90046",3695000.0
208,5.0,6.0,5871.0,49760.99999999999,"Pacific Palisades, CA 90272",6150000.0
209,3.0,4.0,2433.0,37102.5,"Los Angeles, CA 90024",1585000.0
210,3.0,2.0,1677.0,15714.0,"Los Angeles, CA 90044",599900.0
211,2.0,2.5,1534.0,332613.0,"Chatsworth, CA 91311",520000.0
212,2.0,1.5,730.0,41467.5,"Panorama City, CA 91402",324999.0
213,2.0,2.0,971.0,166306.5,"Van Nuys, CA 91405",375000.0
214,1.0,1.0,618.0,79443.0,"West Hills, CA 91307",339500.0
215,2.0,1.5,1062.0,12222.000000000002,"Sherman Oaks, CA 91403",549900.0
216,3.0,2.0,1593.0,5420.0,"Sylmar, CA 91342",650000.0
217,5.0,4.0,2233.0,7031.0,"Mission Hills, CA 91345",879000.0
218,4.0,4.0,4505.0,27063.0,"Porter Ranch, CA 91326",1599995.0
219,6.0,4.5,4144.0,25753.5,"Northridge, CA 91343",1599900.0
220,,,1930.0,7059.0,,799999.0
